cid,uid,pid,rate,content
1,2,6,2.4,This is a comment for product_82
2,7,5,2.9,This is a comment for product_66
3,2,9,1.6,This is a comment for product_100
4,9,11,3.5,This is a comment for product_90
5,5,1,2.5,This is a comment for product_55
6,1,5,4.6,This is a comment for product_56
7,2,14,4.4,This is a comment for product_49
8,5,4,4.2,This is a comment for product_10
9,1,8,2.1,This is a comment for product_78
10,2,12,3.3,This is a comment for product_15
11,4,13,3.8,This is a comment for product_85
12,1,3,4.9,This is a comment for product_42
13,6,19,3.8,This is a comment for product_75
14,2,16,1.5,This is a comment for product_86
15,5,12,2.4,This is a comment for product_4
16,1,14,1.6,This is a comment for product_100
17,5,11,2.4,This is a comment for product_9
18,2,6,2.1,This is a comment for product_8
19,3,5,4.2,This is a comment for product_9
20,8,16,2.4,This is a comment for product_7
21,2,13,2.3,This is a comment for product_59
22,1,4,1.9,This is a comment for product_31
23,9,5,4.8,This is a comment for product_29
24,4,7,1.3,This is a comment for product_8
25,1,18,1.8,This is a comment for product_25
26,2,6,4.1,This is a comment for product_96
27,7,18,3.1,This is a comment for product_34
28,6,2,4.2,This is a comment for product_26
29,3,18,3.7,This is a comment for product_48
30,3,12,4.1,This is a comment for product_57
31,8,2,2.6,This is a comment for product_33
32,7,6,1.2,This is a comment for product_51
33,4,10,3.2,This is a comment for product_79
34,5,10,3.5,This is a comment for product_10
35,1,2,3.7,This is a comment for product_89
36,2,2,1.5,This is a comment for product_79
37,5,10,1.5,This is a comment for product_82
38,6,8,3.5,This is a comment for product_61
39,3,15,2.6,This is a comment for product_69
40,8,1,4.2,This is a comment for product_59
41,10,5,4.9,This is a comment for product_54
42,6,3,3.8,This is a comment for product_67
43,1,10,2.5,This is a comment for product_93
44,7,1,2.3,This is a comment for product_68
45,4,8,2.1,This is a comment for product_7
46,2,7,1.1,This is a comment for product_7
47,1,13,1.8,This is a comment for product_94
48,3,10,2.0,This is a comment for product_52
49,8,7,2.9,This is a comment for product_3
50,5,18,2.2,This is a comment for product_53
51,6,13,1.8,This is a comment for product_38
52,1,14,3.8,This is a comment for product_50
53,3,19,4.1,This is a comment for product_75
54,9,12,4.1,This is a comment for product_15
55,1,14,3.0,This is a comment for product_61
56,7,3,2.9,This is a comment for product_26
57,2,14,4.2,This is a comment for product_58
58,1,7,4.9,This is a comment for product_61
59,5,12,1.9,This is a comment for product_48
60,3,1,3.8,This is a comment for product_5
61,1,5,3.6,This is a comment for product_21
62,7,5,2.9,This is a comment for product_45
63,5,5,3.9,This is a comment for product_9
64,10,5,4.8,This is a comment for product_75
65,3,3,1.6,This is a comment for product_37
66,3,6,2.1,This is a comment for product_13
67,3,18,2.1,This is a comment for product_29
68,3,20,1.8,This is a comment for product_27
69,8,13,1.2,This is a comment for product_36
70,6,9,4.8,This is a comment for product_84
71,1,4,4.1,This is a comment for product_31
72,9,7,1.5,This is a comment for product_70
73,7,8,3.2,This is a comment for product_42
74,1,16,2.3,This is a comment for product_16
75,9,18,4.1,This is a comment for product_65
76,2,8,3.7,This is a comment for product_27
77,10,11,4.8,This is a comment for product_18
78,2,5,4.1,This is a comment for product_54
79,2,5,2.3,This is a comment for product_45
80,5,10,1.6,This is a comment for product_3
81,7,10,1.2,This is a comment for product_89
82,3,14,2.4,This is a comment for product_31
83,9,10,3.8,This is a comment for product_98
84,9,9,3.3,This is a comment for product_86
85,5,17,4.1,This is a comment for product_40
86,6,16,3.8,This is a comment for product_44
87,1,7,2.4,This is a comment for product_26
88,6,16,3.7,This is a comment for product_35
89,1,17,1.3,This is a comment for product_48
90,7,15,2.5,This is a comment for product_64
91,2,1,2.9,This is a comment for product_40
92,6,13,4.4,This is a comment for product_70
93,5,6,4.1,This is a comment for product_19
94,7,2,3.4,This is a comment for product_31
95,7,7,1.8,This is a comment for product_83
96,5,6,3.8,This is a comment for product_29
97,2,4,1.3,This is a comment for product_72
98,6,5,2.5,This is a comment for product_42
99,4,18,3.8,This is a comment for product_46
100,1,7,2.2,This is a comment for product_87
